Month,Monthly Boston armed robberies Jan.1966-Oct.1975 Deutsch and Alt (1977)
1966-01,41.0
1966-02,39.0
1966-03,50.0
1966-04,40.0
1966-05,43.0
1966-06,38.0
1966-07,44.0
1966-08,35.0
1966-09,39.0
1966-10,35.0
1966-11,29.0
1966-12,49.0
1967-01,50.0
1967-02,59.0
1967-03,63.0
1967-04,32.0
1967-05,39.0
1967-06,47.0
1967-07,53.0
1967-08,60.0
1967-09,57.0
1967-10,52.0
1967-11,70.0
1967-12,90.0
1968-01,74.0
1968-02,62.0
1968-03,55.0
1968-04,84.0
1968-05,94.0
1968-06,70.0
1968-07,108.0
1968-08,139.0
1968-09,120.0
1968-10,97.0
1968-11,126.0
1968-12,149.0
1969-01,158.0
1969-02,124.0
1969-03,140.0
1969-04,109.0
1969-05,114.0
1969-06,77.0
1969-07,120.0
1969-08,133.0
1969-09,110.0
1969-10,92.0
1969-11,97.0
1969-12,78.0
1970-01,99.0
1970-02,107.0
1970-03,112.0
1970-04,90.0
1970-05,98.0
1970-06,125.0
1970-07,155.0
1970-08,190.0
1970-09,236.0
1970-10,189.0
1970-11,174.0
1970-12,178.0
1971-01,136.0
1971-02,161.0
1971-03,171.0
1971-04,149.0
1971-05,184.0
1971-06,155.0
1971-07,276.0
1971-08,224.0
1971-09,213.0
1971-10,279.0
1971-11,268.0
1971-12,287.0
1972-01,238.0
1972-02,213.0
1972-03,257.0
1972-04,293.0
1972-05,212.0
1972-06,246.0
1972-07,353.0
1972-08,339.0
1972-09,308.0
1972-10,247.0
1972-11,257.0
1972-12,322.0
1973-01,298.0
1973-02,273.0
1973-03,312.0
1973-04,249.0
1973-05,286.0
1973-06,279.0
1973-07,309.0
1973-08,401.0
1973-09,309.0
1973-10,328.0
1973-11,353.0
1973-12,354.0
1974-01,327.0
1974-02,324.0
1974-03,285.0
1974-04,243.0
1974-05,241.0
1974-06,287.0
1974-07,355.0
1974-08,460.0
1974-09,364.0
1974-10,487.0
1974-11,452.0
